price_datetime;price;price_promo;sku_status;sku_barcode;sku_article;sku_name;sku_category;sku_country;sku_weight_min;sku_volume_min;sku_quantity_min;sku_link;sku_images
22.25.50 2023-01-17;203;193;1;4605851000085;05303;Химола Приучающий Спрей для Кошек 150 Мл.;Главная|Каталог|Товары и корма для кошек|Средства по уходу|Корректоры поведения;Poccия;200г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/sredstva-po-ukhodu/korrektory-povedeniya/khimola_priuchayushchiy_sprey_dlya_koshek_150_ml.html;['/upload/resize_cache/iblock/bd8/450_450_1dfc9401eed6705ea741f22b962e86776/KHimola-Priuchayushchiy-Sprey-dlya-Koshek-150-Ml.-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/bd8/450_450_1dfc9401eed6705ea741f22b962e86776/KHimola-Priuchayushchiy-Sprey-dlya-Koshek-150-Ml.-kupit-Zootovary.Ru.jpg']
22.25.51 2023-01-17;825;784;1;4607177767840;20042;Polidex Супер Вул Плюс 200 Таб.Для Кошек - Улучшает Состояние и Стимулирует Рост Шерсти, Защищает от Сухости Кожи и Появления Перхоти 7840;Главная|Каталог|Товары и корма для кошек|Витамины|Polidex;Poccия;40г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/vitaminy/polidex/polidex_super_vul_plyus_200_tab_dlya_koshek_uluchshaet_sostoyanie_i_stimuliruet_rost_shersti_zashchi.html;['/upload/resize_cache/iblock/31c/450_450_1dfc9401eed6705ea741f22b962e86776/Polidex-Super-Vul-Plyus-200-Tab.Dlya-Koshek-_-Uluchshaet-Sostoyanie-i-Stimuliruet-Rost-SHersti_-Zashchishchaet-ot-Sukhosti-Kozhi-i-Poyavleniya-Perkhoti-7840-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/31c/450_450_1dfc9401eed6705ea741f22b962e86776/Polidex-Super-Vul-Plyus-200-Tab.Dlya-Koshek-_-Uluchshaet-Sostoyanie-i-Stimuliruet-Rost-SHersti_-Zashchishchaet-ot-Sukhosti-Kozhi-i-Poyavleniya-Perkhoti-7840-kupit-Zootovary.Ru.jpg']
22.25.51 2023-01-17;2140;;0;4607125695850up;z79202up;Оскар консервы для собак с Кроликом;Главная|Каталог|Товары и корма для собак|Корм влажный для собак|Оскар;Россия;20х350гр;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_vlazhnyy_dlya_sobak/oskar/oskar_konservy_dlya_sobak_s_krolikom.html;['/upload/resize_cache/iblock/fd8/500_500_1dfc9401eed6705ea741f22b962e86776/Oskar-konservy-dlya-sobak-s-Krolikom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/fd8/500_500_1dfc9401eed6705ea741f22b962e86776/Oskar-konservy-dlya-sobak-s-Krolikom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/291/500_500_1dfc9401eed6705ea741f22b962e86776/Oskar-konservy-dlya-sobak-s-Krolikom-kupit-Zootovary.Ru.jpg']
22.25.51 2023-01-17;103;98;1;4607125695850;z79202;Оскар консервы для собак с Кроликом;Главная|Каталог|Товары и корма для собак|Корм влажный для собак|Оскар;Россия;350гр;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_vlazhnyy_dlya_sobak/oskar/oskar_konservy_dlya_sobak_s_krolikom.html;['/upload/resize_cache/iblock/fd8/500_500_1dfc9401eed6705ea741f22b962e86776/Oskar-konservy-dlya-sobak-s-Krolikom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/fd8/500_500_1dfc9401eed6705ea741f22b962e86776/Oskar-konservy-dlya-sobak-s-Krolikom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/291/500_500_1dfc9401eed6705ea741f22b962e86776/Oskar-konservy-dlya-sobak-s-Krolikom-kupit-Zootovary.Ru.jpg']
22.25.51 2023-01-17;177;159;1;8005852617644;z63420;Schesir Консервы для Кошек Тунец и Курица с Креветками Пауч;Главная|Каталог|Товары и корма для кошек|Корм влажный для кошек|Schesir|Паучи;Таиланд;50г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_vlazhnyy_dlya_koshek/schesir/pauchi/schesir_konservy_dlya_koshek_tunets_i_kuritsa_s_krevetkami_pauch.html;['/upload/resize_cache/iblock/dc3/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Tunets-i-Kuritsa-s-Krevetkami-Pauch-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/dc3/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Tunets-i-Kuritsa-s-Krevetkami-Pauch-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/067/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Tunets-i-Kuritsa-s-Krevetkami-Pauch-kupit-Zootovary.Ru.jpg']
22.25.51 2023-01-17;312;281;1;8005852015785;56047;Schesir Консервы для Кошек Тунец и Курица с Креветками Пауч;Главная|Каталог|Товары и корма для кошек|Корм влажный для кошек|Schesir|Паучи;Таиланд;100г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_vlazhnyy_dlya_koshek/schesir/pauchi/schesir_konservy_dlya_koshek_tunets_i_kuritsa_s_krevetkami_pauch.html;['/upload/resize_cache/iblock/dc3/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Tunets-i-Kuritsa-s-Krevetkami-Pauch-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/dc3/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Tunets-i-Kuritsa-s-Krevetkami-Pauch-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/067/450_450_1dfc9401eed6705ea741f22b962e86776/Schesir-Konservy-dlya-Koshek-Tunets-i-Kuritsa-s-Krevetkami-Pauch-kupit-Zootovary.Ru.jpg']
22.25.52 2023-01-17;5891;5596;0;4627079681600;z90511;BLITZ Senior Sensitive сухой корм для пожилых собак старше 7 лет Индейка;Главная|Каталог|Товары и корма для собак|Корм сухой для собак|Blitz;Италия;15кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm_sukhoy_dlya_sobak/blitz/blitz_senior_sensitive_sukhoy_korm_dlya_pozhilykh_sobak_starshe_7_let_indeyka.html;['/upload/resize_cache/iblock/cd4/500_500_1dfc9401eed6705ea741f22b962e86776/BLITZ-Senior-Sensitive-sukhoy-korm-dlya-pozhilykh-sobak-starshe-7-let-Indeyka-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/cd4/500_500_1dfc9401eed6705ea741f22b962e86776/BLITZ-Senior-Sensitive-sukhoy-korm-dlya-pozhilykh-sobak-starshe-7-let-Indeyka-kupit-Zootovary.Ru.jpg']
22.25.52 2023-01-17;175;166;1;4607004706547;z66939;ProBalance HAIR & BEAUTY Корм для кошек Красивая шерсть и здоровая кожа;Главная|Каталог|Товары и корма для кошек|Корм сухой для кошек|ProBalance;Poccия;400г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_sukhoy_dlya_koshek/probalance/probalance_hair_beauty_korm_dlya_koshek_krasivaya_sherst_i_zdorovaya_kozha.html;['/upload/resize_cache/iblock/c71/450_450_1dfc9401eed6705ea741f22b962e86776/ProBalance-HAIR-_-BEAUTY-Korm-dlya-koshek-Krasivaya-sherst-i-zdorovaya-kozha-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/c71/450_450_1dfc9401eed6705ea741f22b962e86776/ProBalance-HAIR-_-BEAUTY-Korm-dlya-koshek-Krasivaya-sherst-i-zdorovaya-kozha-kupit-Zootovary.Ru.jpg']
22.25.53 2023-01-17;4872;;1;8007520099165up;z102498up;Morando Professional Консервированный корм для кошек паштет с ягненком;Главная|Каталог|Товары и корма для кошек|Корм влажный для кошек|Morando;Италия;24х400г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_vlazhnyy_dlya_koshek/morando/morando_professional_konservirovannyy_korm_dlya_koshek_pashtet_s_yagnenkom.html;['/upload/resize_cache/iblock/a9f/500_500_1dfc9401eed6705ea741f22b962e86776/Morando-Professional-Konservirovannyy-korm-dlya-koshek-pashtet-s-yagnenkom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/a9f/500_500_1dfc9401eed6705ea741f22b962e86776/Morando-Professional-Konservirovannyy-korm-dlya-koshek-pashtet-s-yagnenkom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/8b4/500_500_1dfc9401eed6705ea741f22b962e86776/Morando-Professional-Konservirovannyy-korm-dlya-koshek-pashtet-s-yagnenkom-kupit-Zootovary.Ru.jpg']
22.25.53 2023-01-17;195;185;1;8007520099165;z102498;Morando Professional Консервированный корм для кошек паштет с ягненком;Главная|Каталог|Товары и корма для кошек|Корм влажный для кошек|Morando;Италия;400г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-koshek/korm_vlazhnyy_dlya_koshek/morando/morando_professional_konservirovannyy_korm_dlya_koshek_pashtet_s_yagnenkom.html;['/upload/resize_cache/iblock/a9f/500_500_1dfc9401eed6705ea741f22b962e86776/Morando-Professional-Konservirovannyy-korm-dlya-koshek-pashtet-s-yagnenkom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/a9f/500_500_1dfc9401eed6705ea741f22b962e86776/Morando-Professional-Konservirovannyy-korm-dlya-koshek-pashtet-s-yagnenkom-kupit-Zootovary.Ru.jpg', '/upload/resize_cache/iblock/8b4/500_500_1dfc9401eed6705ea741f22b962e86776/Morando-Professional-Konservirovannyy-korm-dlya-koshek-pashtet-s-yagnenkom-kupit-Zootovary.Ru.jpg']
